code,hr_title_en,dmo_title_en,hr_title_fr,dmo_title_fr,english_def,french_def
1,Man,Man,Homme,Homme,This category includes persons whose reported gender is man. It includes cisgender (cis) and transgender (trans) men.,Cette catégorie comprend les personnes dont le genre déclaré a été indiqué comme étant homme. Elle comprend les hommes cisgenres (cis) et les hommes transgenres (trans).
2,Woman,Woman,Femme,Femme,This category includes persons whose reported gender is woman. It includes cisgender (cis) and transgender (trans) women.,Cette catégorie comprend les personnes dont le genre déclaré est femme. Elle comprend les femmes cisgenres (cis) et les femmes transgenres (trans).
3,Another gender,Non-binary person,Autre genre,Personne non-binaire,"""This category includes persons whose reported gender is not exclusively man or woman. It includes persons whose reported gender is, for example, agender, pangender, genderqueer, genderfluid, or gender nonconforming. It also includes persons whose reported gender is Two-Spirit, a term specific to some Indigenous Peoples of North America. It includes persons whose reported gender is both man and woman, neither man nor woman, or either man or woman in addition to another gender. It may also include those who reported or were reported by proxy as questioning or in the process of deciding.""","""Cette catégorie comprend les personnes dont le genre déclaré n’est pas exclusivement homme ni femme. Elle comprend les personnes dont le genre déclaré est, par exemple, agenre, pangenre, genre queer, genre fluide ou genre non conforme. Elle comprend également les personnes dont le genre déclaré est bispirituel, un terme propre à certains peuples autochtones d’Amérique du Nord. Elle comprend les personnes dont le genre déclaré est à la fois homme et femme, ni l’un ni l’autre ou l’un ou l’autre en plus d’un autre genre. Elle peut également comprendre celles ayant indiqué ou ayant été identifiées par personne interposée comme étant en questionnement ou en processus de décision."""
