code,tit_en,tit_fr,en_def,fr_def
1,Male,Sexe masculin,This category includes persons whose sex assigned at birth is male.,Cette catégorie comprend les personnes dont le sexe assigné à la naissance est masculin.
2,Female,Sexe féminin,This category includes persons whose sex assigned at birth is female.,Cette catégorie comprend les personnes dont le sexe assigné à la naissance est féminin.
3,Intersex,Intersexe,This category includes persons whose sex assigned at birth is intersex.,Cette catégorie comprend les personnes dont le sexe assigné à la naissance est intersexe.
