date,dataset,id,entity_name_en,entity_name_fr,event,field,old_value,new_value
2026-06-10,Organization_Information,3540,UPDATED,nom_harmonise,Recherche et développement pour la défense Canada,Recherche et développement pour la Défense Canada,Defence Research and Development Canada,Recherche et développement pour la Défense Canada
2026-06-10,Organization_Information,3548,DELETED,,,,,
2026-06-10,Organization_Information,3549,DELETED,,,,,
2026-06-10,Organization_Information,3552,DELETED,,,,,
2026-06-10,Organization_Information,3553,DELETED,,,,,
2026-06-10,Organization_Information,3554,DELETED,,,,,
2026-06-10,Organization_Information,3555,DELETED,,,,,
2026-06-10,Organization_Information,3556,DELETED,,,,,
2026-06-10,Organization_Information,3557,DELETED,,,,,
2026-06-10,Organization_Information,3558,DELETED,,,,,
2026-06-10,Organization_Information,3559,DELETED,,,,,
2026-06-10,Organization_Information,3560,DELETED,,,,,
2026-06-10,Organization_Information,3561,UPDATED,status_statut,a,,Canadian War Museum,Musée canadien de la guerre
2026-06-10,Organization_Information,3562,UPDATED,status_statut,a,,Communications Research Centre Canada,Centre de recherches sur les communications Canada
2026-06-10,Organization_Information,3563,UPDATED,status_statut,a,,Competition Bureau Canada,Bureau de la concurrence Canada
2026-06-10,Organization_Information,3564,UPDATED,status_statut,a,t,Competition Tribunal,Tribunal de la concurrence
2026-06-10,Organization_Information,3564,UPDATED,end_date_fin,,2014.0,Competition Tribunal,Tribunal de la concurrence
2026-06-10,Organization_Information,3565,DELETED,,,,,
2026-06-10,Organization_Information,3566,DELETED,,,,,
2026-06-10,Organization_Information,3568,DELETED,,,,,
2026-06-10,Organization_Information,3569,DELETED,,,,,
2026-06-10,Organization_Information,3570,DELETED,,,,,
2026-06-10,Organization_Information,3571,UPDATED,status_statut,a,,Office of the Federal Ombudsperson for Victims Of Crime,Bureau de l'ombudsman fédéral des victimes d'actes criminels
2026-06-10,Organization_Information,3572,UPDATED,status_statut,a,,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada
2026-06-10,Organization_Information,3573,DELETED,,,,,
2026-06-10,Organization_Information,3574,UPDATED,status_statut,a,,Intergovernmental Affairs,Affaires intergouvernementales
2026-06-10,Organization_Information,3575,DELETED,,,,,
2026-06-10,Organization_Information,3578,DELETED,,,,,
2026-06-10,Organization_Information,3580,DELETED,,,,,
2026-06-10,Organization_Information,3581,DELETED,,,,,
2026-06-10,Organization_Information,3582,DELETED,,,,,
2026-06-10,Organization_Information,3584,DELETED,,,,,
2026-06-10,Organization_Information,3585,UPDATED,status_statut,a,,Office of the Procurement Ombudsman,Bureau de l'ombudsman de l'approvisionnement
2026-06-10,Organization_Information,3586,DELETED,,,,,
